player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
Mason White,43872,S,OREGON ST,11,5,0,80.0,0,1,265,0,0,81.1,69.2,81.8,68.1,43.3,73.7,0,0,0,0,18,11.1,3,2,0,92.5,4,0,0,91,3,83,194,0,0,0,0,0,55,194,4,107,44,6,19,1,5,0,0,31,18,7.8
James Camden,53418,LB,W MICHIGAN,14,23,0,76.2,0,2,347,1,0,78.3,80.5,54.6,77.0,74.9,66.9,2,8,0,0,24,13.5,13,0,1,111.0,16,5,0,560,2,274,653,21,0,0,21,0,0,632,67,312,70,39,60,2,21,15,1,149,96,9.3
Iesa Jarmon,53981,CB,AKRON,1,0,0,100.0,0,0,102,0,0,43.4,43.4,71.0,,60.0,,0,0,0,0,37,,0,0,0,158.3,2,0,0,1,11,8,12,0,0,0,0,0,0,12,0,4,0,0,0,0,2,0,2,49,21,24.5
Malik Denkins,55516,ED,C MICHIGAN,8,3,0,,0,0,134,0,0,61.2,62.1,79.0,56.0,60.2,78.6,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,66,66,5,0,54,7,0,0,27,39,0,3,4,0,0,0,0,0,0,
Shaun Myers,62235,LB,COLORADO,12,7,0,72.7,0,0,143,1,0,74.1,70.1,29.0,52.4,69.1,54.8,0,3,0,0,33,17.5,7,1,1,125.0,8,0,0,275,2,95,318,21,0,0,21,0,0,297,33,190,19,19,26,4,11,3,2,60,45,7.5
Will Whitson,64470,ED,MISS STATE,2,2,0,,0,0,227,0,0,,81.1,76.9,74.8,75.4,78.8,0,4,0,0,,0.0,0,0,0,0.0,0,2,0,0,0,0,46,46,0,2,29,15,0,0,28,18,0,5,3,3,0,6,0,0,0,
Mister Williams,70521,LB,S DIEGO ST,13,21,0,65.4,0,0,284,0,0,54.2,69.8,83.9,72.1,80.1,76.5,2,5,0,0,35,7.8,5,1,0,99.5,17,0,0,438,2,270,554,17,0,0,17,0,0,537,34,250,97,25,38,3,26,7,1,188,150,11.1
Ben Florentine,70644,DI,WYOMING,12,9,1,,0,0,351,0,0,57.0,74.8,86.1,69.3,74.5,67.5,5,12,0,0,,8.8,3,0,0,0.0,0,4,0,1,0,3,551,550,62,408,7,73,0,1,266,282,0,21,22,3,0,21,0,0,0,
Korey Foreman,70831,ED,FRESNO ST,13,4,1,66.7,1,0,169,0,0,46.4,66.6,36.4,69.4,70.5,58.7,4,10,0,0,17,21.7,5,2,2,103.5,2,4,0,0,0,18,322,322,0,4,315,3,0,0,191,113,0,13,14,2,3,18,0,33,10,16.5
Calvin Pitcher,70877,LB,UAB,12,14,0,77.8,0,0,321,0,0,45.6,60.1,84.7,52.3,70.4,66.1,0,2,0,0,65,14.9,7,1,0,155.8,7,1,0,232,0,88,307,51,0,0,50,1,0,256,19,200,24,15,26,0,9,3,1,126,104,18.0
Tate Romney,70946,LB,ARIZONA ST,10,2,0,66.7,0,0,110,0,0,52.1,49.6,0.0,53.4,56.5,50.2,0,0,0,0,30,21.4,3,1,1,138.9,4,0,0,77,0,46,101,11,0,0,11,0,2,90,7,48,11,2,9,0,6,0,1,60,31,15.0
Domani Jackson,71370,CB,ALABAMA,15,5,0,76.2,0,1,103,0,0,74.3,73.3,37.8,67.2,66.4,83.6,0,1,0,0,38,6.5,3,1,4,108.2,16,0,0,41,457,300,516,10,0,0,10,0,7,506,3,213,1,14,38,2,21,1,1,135,42,8.4
Keanu Tanuvasa,71398,DI,BYU,14,13,1,,0,0,128,0,0,71.7,63.2,34.6,61.9,63.8,57.6,2,16,0,0,,16.7,5,0,3,0.0,0,2,0,2,0,0,544,542,279,234,0,29,0,2,302,242,0,12,12,1,0,20,0,0,0,
Aaron Smith,71596,CB,NEW MEXICO,2,0,0,100.0,0,0,241,0,0,33.3,34.2,76.3,,53.8,41.8,0,0,0,0,19,50.0,1,0,0,108.3,5,0,0,2,1,13,25,0,0,0,0,0,1,25,0,12,21,0,1,0,5,0,0,50,13,10.0
DJ Harvey,72089,CB,USC,8,3,0,53.3,0,0,326,0,0,61.4,60.8,79.8,,55.0,49.4,0,0,0,0,75,25.0,3,2,1,112.1,8,0,0,6,129,93,141,0,0,0,0,0,2,141,0,48,4,1,6,0,15,0,1,156,67,19.5
Solomone Langi,72318,DI,S JOSE ST,11,9,0,,0,0,285,0,0,60.7,71.4,82.6,66.4,70.5,60.2,2,0,0,0,,10.0,2,0,0,0.0,0,2,0,0,0,1,208,208,103,104,0,1,0,0,72,135,0,9,9,1,0,4,0,0,0,
Raider Damuni,72338,S,BYU,12,12,0,57.9,0,0,128,1,0,67.9,64.6,82.8,60.4,58.0,63.5,0,3,0,1,33,15.1,8,2,0,89.8,11,0,0,175,2,230,421,6,0,0,6,0,146,415,7,184,92,14,33,0,19,3,2,120,72,10.9
Justin Flowe,72388,LB,UNLV,11,5,0,75.0,0,0,325,0,0,75.5,72.1,0.0,56.5,72.6,56.0,0,2,0,0,5,15.4,2,1,1,78.1,3,0,0,73,0,45,84,5,0,0,5,0,0,79,12,27,5,4,6,0,4,2,0,13,9,4.3
Ian Shewell,72474,DI,ARIZONA ST,3,0,0,,0,0,110,0,0,60.2,59.3,72.0,62.4,55.0,71.3,0,2,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,1,15,15,0,13,0,2,0,0,10,4,0,0,1,0,0,2,0,0,0,
Jadon Pearson,72538,LB,FRESNO ST,13,22,0,85.7,0,1,169,1,0,67.3,64.2,86.7,46.5,64.8,77.4,2,7,0,0,41,9.3,10,1,1,99.0,30,0,0,642,4,359,742,50,0,0,50,0,1,692,60,323,43,42,76,6,35,9,0,272,228,9.1
Marco Notarainni,73389,LB,BOISE ST,14,17,0,70.4,0,1,120,1,0,78.6,68.9,60.8,62.0,59.9,56.8,10,23,0,0,36,18.9,17,1,1,90.8,19,3,0,717,4,286,781,26,0,0,26,0,0,755,125,370,34,44,56,3,27,36,0,195,143,10.3
Trent Whalen,73609,LB,ARKANSAS,7,0,0,100.0,0,0,111,0,0,54.8,61.6,74.0,64.6,69.8,82.7,1,2,0,0,20,0.0,0,0,0,118.8,5,0,0,27,0,19,33,1,0,0,1,0,0,32,3,11,4,4,7,0,5,3,0,66,46,13.2
Gio De Leon,73658,LB,BUFFALO,4,0,0,,0,0,126,0,0,64.2,60.9,74.4,57.7,57.0,73.0,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,16,0,8,22,6,0,0,6,0,0,16,3,11,0,1,1,0,0,0,0,0,0,
Cory Hall,73699,DI,UNLV,4,0,0,,0,0,325,0,0,,55.0,72.8,58.0,55.9,,0,1,0,0,,,0,0,0,0.0,0,0,0,0,0,0,15,15,1,9,3,2,0,0,7,8,0,0,0,0,0,1,0,0,0,
Taariq Al-Uqdah,74119,LB,WASHINGTON,3,1,0,57.1,0,0,340,0,0,63.4,64.1,80.5,68.8,58.5,78.4,0,2,0,0,25,6.7,1,0,0,73.5,4,1,0,139,5,80,152,3,0,0,3,0,0,149,16,56,4,9,13,1,7,3,0,40,14,10.0
Ryan Quintanar,74152,LB,USC,2,0,0,100.0,0,0,326,0,0,36.1,28.7,70.8,56.0,41.7,17.7,0,1,0,0,5,100.0,2,0,0,87.5,1,0,0,8,0,4,11,1,0,0,1,0,0,10,3,4,2,0,0,0,1,1,0,5,3,5.0
Justin Sinclair,74258,S,HAWAII,10,3,0,55.6,0,2,180,0,0,51.2,57.3,80.0,60.0,69.5,79.8,0,0,0,0,13,5.9,1,0,2,73.4,5,0,0,54,0,69,135,2,0,0,2,0,45,133,1,65,33,2,13,0,9,0,0,54,8,10.8
Zion Branch,74395,S,GEORGIA,9,2,0,87.5,0,0,173,0,0,65.8,67.8,83.0,57.8,71.5,79.0,0,0,0,0,20,7.1,2,1,2,99.0,7,0,0,59,1,140,231,3,0,0,3,0,138,228,1,90,30,10,24,1,8,0,0,62,26,8.9
Jaymar Mundy,75041,CB,OHIO,5,0,0,60.0,2,0,259,0,0,51.2,48.9,0.0,,58.6,59.0,0,0,0,0,42,25.0,1,0,2,143.8,3,0,0,3,55,34,60,0,0,0,0,0,0,60,0,26,1,1,3,0,5,0,1,63,9,21.0
Silas Walters,75263,S,MIAMI OH,12,21,1,57.8,1,0,221,0,0,71.6,74.0,59.1,63.9,80.7,69.5,0,5,0,3,23,13.9,11,4,3,74.2,37,0,0,187,12,415,761,35,0,0,35,0,50,726,16,330,476,18,47,1,64,5,4,348,109,9.4
Aneesh Vyas,75285,DI,WYOMING,9,3,0,,0,0,351,0,0,60.0,55.5,83.0,50.5,56.5,64.3,1,1,0,0,,7.7,1,1,0,0.0,0,0,0,0,0,0,266,266,46,172,5,43,0,0,140,126,0,5,9,0,0,2,0,0,0,
Bam Booker,76122,ED,BOWL GREEN,12,5,1,,0,0,122,0,0,61.8,55.6,60.7,53.8,57.1,70.5,0,7,0,0,,6.3,1,0,1,0.0,0,0,0,1,0,0,361,360,12,121,173,54,0,1,187,174,0,6,10,0,0,7,0,0,0,
Solomon Vanhorse,78573,HB,INDIANA,1,0,0,,0,0,190,0,0,,60.0,60.0,,60.0,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,
Moroni Anae,81437,LB,UTAH,7,3,1,100.0,0,0,328,0,0,61.1,77.8,77.5,69.8,86.5,63.6,0,4,0,0,20,14.3,2,0,0,118.8,2,0,0,46,0,22,57,8,0,0,8,0,2,49,9,26,1,6,9,0,2,4,0,33,22,16.5
Brendon Harris,83446,S,MIDDLE TN,12,9,0,64.3,0,0,224,0,0,57.7,63.3,86.1,60.5,70.8,73.4,0,0,0,0,56,10.3,4,0,0,137.8,9,0,0,144,5,201,422,41,0,0,41,0,138,381,10,211,93,13,26,3,14,0,2,143,81,15.9
Jayden Dunlap,85725,CB,BYU,10,2,0,60.0,1,0,128,0,0,55.5,58.8,79.2,71.4,68.3,62.1,0,0,0,0,35,14.3,1,0,1,125.4,6,0,0,13,126,83,144,0,0,0,0,0,0,144,1,60,5,3,4,0,10,0,1,96,25,16.0
Gracen Halton,85774,DI,OKLAHOMA,13,7,1,,0,0,261,1,1,59.6,85.0,64.3,76.9,87.5,65.9,3,22,0,0,,14.3,4,0,1,0.0,0,5,0,1,0,3,422,421,75,287,25,34,0,1,259,160,0,19,17,3,0,30,0,0,0,
Kalib Perry,86267,LB,LOUISVILLE,13,7,1,80.0,0,0,210,0,0,47.1,58.2,84.4,51.5,70.9,60.9,1,5,0,1,33,14.5,8,1,0,107.2,24,0,0,303,0,184,392,50,0,0,50,0,0,342,44,164,39,24,40,2,30,6,1,312,136,13.0
Blake Ruffin,86298,S,LOUISVILLE,7,3,0,0.0,0,0,210,0,0,72.4,69.1,79.0,58.9,58.2,66.6,0,0,0,0,,12.5,1,0,0,39.6,0,0,0,17,0,39,78,6,0,0,6,0,16,72,2,37,38,1,4,0,2,0,0,0,0,
Jalil Tucker,86578,CB,OREGON ST,11,3,0,58.7,1,0,265,0,0,55.1,56.8,84.2,63.7,62.1,54.3,1,0,0,1,61,21.2,7,2,5,113.0,27,0,0,41,449,270,506,1,0,0,1,0,1,505,6,230,13,4,23,0,46,1,4,464,151,17.2
Jackson Schulz,86773,S,KENTUCKY,5,2,0,,0,0,202,0,0,80.5,78.8,72.1,,67.3,82.6,0,0,0,0,,0.0,0,1,0,0.0,0,0,0,9,0,11,26,0,0,0,0,0,14,26,0,15,1,0,2,0,0,0,0,0,0,
Ceyair Wright,86877,CB,NEBRASKA,13,11,0,54.8,0,0,238,0,0,65.6,66.6,53.2,57.2,70.4,51.8,0,3,0,0,45,20.5,9,4,3,82.2,23,1,0,119,169,324,670,17,0,0,17,0,8,653,8,338,355,8,24,1,42,4,1,268,207,11.7
David Reese,90079,ED,SYRACUSE,12,4,2,60.0,0,0,304,2,0,58.4,60.1,52.0,68.3,51.9,74.7,2,17,0,0,24,7.4,2,0,2,97.1,3,3,0,17,0,48,495,463,0,7,448,8,0,32,248,199,14,12,21,0,5,22,0,54,42,18.0
Chance Tucker,90524,CB,NOTRE DAME,4,0,0,50.0,0,0,258,0,0,42.7,45.1,74.8,55.4,63.5,,0,0,0,0,6,,0,0,0,56.3,2,0,0,1,32,14,36,0,0,0,0,0,0,36,1,21,3,0,0,0,4,0,0,9,0,4.5
Ose Egbase,90529,ED,UNLV,14,6,0,,0,1,325,0,0,67.6,63.3,84.7,69.2,51.7,37.2,0,15,0,0,,22.7,5,0,0,0.0,0,2,0,1,0,3,319,316,17,60,187,52,0,3,189,127,0,8,11,0,0,17,0,0,0,
Tyrice Ivy Jr.,90783,S,OREGON ST,1,4,0,100.0,0,0,265,0,0,57.9,64.0,74.3,59.4,72.3,83.4,0,0,0,0,19,0.0,0,0,0,147.9,3,0,0,20,3,16,37,0,0,0,0,0,2,37,1,20,12,0,3,0,3,0,1,30,11,10.0
Cam Ross,97105,WR,VIRGINIA,1,0,0,,0,0,335,0,0,,60.0,60.0,,60.0,,0,0,0,0,,,0,0,2,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,
Solomon Brown,97386,S,BUFFALO,12,10,0,56.0,0,1,126,0,0,70.5,72.9,88.8,58.1,75.2,76.1,0,1,0,1,43,10.3,6,4,2,85.4,14,0,0,183,2,335,625,34,0,0,34,0,275,591,6,284,130,15,42,0,25,1,2,160,48,11.4
Marvae Myers,97517,CB,MARSHALL,10,5,0,47.2,0,0,214,0,0,64.0,67.3,84.6,67.8,76.7,66.5,0,0,0,1,69,14.7,5,2,6,107.9,17,1,0,78,434,297,535,2,0,0,2,0,17,533,4,234,4,6,24,0,36,1,4,354,155,20.8
Jett Elad,97543,S,RUTGERS,12,15,0,88.2,0,1,278,1,0,65.3,63.1,17.7,67.0,60.3,43.5,2,1,0,2,69,19.8,19,2,2,98.8,15,0,0,368,5,341,670,47,0,0,46,1,222,623,22,307,28,15,62,3,17,3,1,276,129,18.4
Mohamed Toure,97751,LB,MIAMI FL,16,23,0,70.0,0,0,220,0,0,41.3,60.5,85.3,72.7,72.9,59.6,2,12,0,0,36,15.9,18,5,0,101.3,42,1,0,544,0,343,674,19,0,0,19,0,0,655,60,271,109,40,72,1,60,15,2,428,252,10.2
Zaylin Wood,97761,DI,VANDERBILT,13,8,1,,1,0,333,0,0,58.8,67.7,66.4,66.7,66.9,55.5,4,15,0,1,,16.7,4,0,1,0.0,0,5,0,5,0,6,450,445,78,181,145,41,0,5,285,159,0,15,12,0,0,24,0,0,0,
Mark Davis,97886,CB,VANDERBILT,12,2,0,59.1,0,1,333,0,0,82.1,75.9,82.8,59.3,36.7,43.9,0,0,0,0,32,27.3,9,4,0,75.8,13,0,0,10,247,173,272,2,0,0,2,0,0,270,1,98,13,10,22,2,22,0,0,129,33,9.9
Shammond Cooper,97918,LB,AKRON,11,14,0,77.8,0,0,102,0,0,49.6,69.1,86.4,66.5,81.6,81.9,1,4,0,0,38,6.3,4,0,0,126.2,21,1,0,449,3,238,515,16,0,0,16,0,0,499,30,247,47,29,45,3,27,6,2,226,174,10.8
Anthonie Cooper,97970,DI,ARIZONA ST,12,1,0,,0,0,110,0,0,63.6,53.0,36.4,51.7,56.9,76.6,2,4,0,1,,25.0,1,0,1,0.0,0,2,0,1,0,1,187,186,0,82,14,90,0,1,153,33,0,4,2,0,0,8,0,0,0,
Jalar Holley,97977,DI,CHARLOTTE,12,0,0,,0,0,136,0,0,,56.9,82.2,57.7,55.6,77.1,1,3,0,0,,0.0,0,0,0,0.0,0,1,0,0,0,0,241,241,29,203,0,9,0,0,108,133,0,6,7,0,0,5,0,0,0,
Richie Hagarty,98121,ED,NWESTERN,8,3,0,100.0,0,0,256,0,0,52.7,59.0,46.1,61.7,60.7,80.7,1,4,0,0,10,0.0,0,0,1,108.3,1,1,0,0,0,9,206,206,0,10,163,33,0,0,101,96,0,5,7,1,1,6,0,10,1,10.0
Myles Farmer,98122,S,APP STATE,5,1,0,100.0,0,0,108,0,0,52.6,58.2,0.0,59.8,71.6,66.8,0,0,0,0,22,16.7,1,0,1,118.8,1,0,0,12,2,5,34,9,0,0,9,0,5,25,1,28,6,2,4,2,1,0,0,22,9,22.0
Immanuel Hickman Sr.,98192,DI,VA TECH,12,8,0,,0,1,337,0,0,70.2,72.6,45.6,55.8,78.8,79.1,1,1,0,0,,0.0,0,0,1,0.0,0,0,0,1,0,0,210,209,84,122,0,3,0,1,90,120,0,5,6,0,0,2,0,0,0,
Quindarius Dunnigan,98193,ED,MICH STATE,12,11,0,100.0,0,1,223,0,0,69.3,69.9,59.2,63.0,70.7,72.2,6,10,0,0,6,10.0,3,0,1,91.7,1,5,0,1,0,3,306,304,2,23,259,20,0,2,176,127,0,14,16,3,1,21,0,6,1,6.0
Zukudo Igwenagu,98305,ED,UMASS,11,3,1,,0,0,216,0,0,,59.8,49.3,61.1,59.7,32.1,1,3,0,0,,26.3,5,0,1,0.0,0,0,0,0,0,0,240,240,0,2,149,89,0,0,79,161,0,10,11,0,0,4,0,0,0,
Jalen Catalon,98867,S,MISSOURI,13,13,0,71.4,0,0,229,0,0,73.9,74.1,83.7,57.8,73.6,76.0,0,3,0,0,25,13.3,6,0,0,85.1,10,0,0,133,1,205,370,6,0,0,6,0,181,364,9,156,49,12,26,0,14,3,0,79,49,7.9
Taurean Carter II,98934,DI,COLORADO,6,1,0,,0,0,143,0,0,,65.5,76.8,53.6,69.5,75.3,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,66,65,1,60,0,4,0,1,25,41,0,1,3,0,0,0,0,0,0,
Isaiah Gibson Sr.,98952,DI,SO MISS,13,6,1,,0,0,296,0,0,57.7,51.2,69.5,56.3,49.5,33.0,0,8,0,0,,22.7,5,0,1,0.0,0,0,0,7,0,2,530,523,205,311,2,5,0,7,265,263,0,9,11,1,0,8,0,0,0,
Brandon Mack II,99105,ED,HOUSTON,13,14,0,81.8,0,2,182,0,0,67.2,69.6,53.6,62.0,75.0,51.5,4,8,0,0,22,20.9,9,0,2,91.7,9,5,0,5,0,60,515,480,0,1,479,0,0,35,230,225,30,20,20,1,11,17,0,66,30,7.3
Will Jones II,99276,S,N TEXAS,14,19,0,59.5,0,3,251,2,0,80.2,77.1,88.4,56.1,70.4,67.4,1,1,0,3,42,15.2,16,1,1,65.1,22,0,0,489,7,383,886,23,0,0,23,0,258,863,17,486,108,19,70,3,37,2,2,260,120,11.8
Logan Wilson,99280,CB,CINCINNATI,11,9,0,56.8,0,2,138,2,0,74.1,72.5,5.8,,70.7,65.5,0,0,0,0,69,13.0,6,6,3,104.4,21,0,0,65,471,301,547,7,0,0,7,0,0,540,0,246,4,9,31,2,37,0,2,329,88,15.7
Isheem Young,99281,S,MEMPHIS,8,0,0,50.0,0,0,218,0,0,60.5,56.1,84.7,60.0,38.8,23.8,0,0,0,0,15,60.0,3,0,1,75.0,1,0,0,46,0,59,100,2,0,0,2,0,33,98,1,40,18,1,2,0,2,0,0,15,10,15.0
Virdel Edwards II,99286,CB,HAWAII,12,4,0,76.9,0,0,180,1,0,70.9,71.8,36.7,,75.0,70.9,0,0,0,0,52,8.8,3,3,3,129.0,20,0,0,40,462,307,514,0,0,0,0,0,0,514,0,207,12,9,27,1,26,0,1,312,89,15.6
Deshawn McCuin,99502,CB,S DIEGO ST,11,2,0,65.0,0,0,284,0,0,74.3,71.1,81.9,57.5,54.4,40.7,0,0,0,1,32,27.8,5,2,0,61.0,13,0,0,21,158,125,223,3,0,0,3,0,28,220,2,96,13,7,11,2,20,0,0,123,49,9.5
Nate Temple,99726,ED,PITTSBURGH,11,2,0,,1,0,268,0,0,53.6,53.2,40.8,48.8,64.1,42.6,3,1,0,0,,18.2,2,0,1,0.0,0,0,0,2,0,2,170,168,0,1,165,2,0,2,90,78,0,5,7,1,0,4,0,0,0,
Cecil Powell,99735,S,SM HOUSTON,11,6,0,64.1,1,1,281,1,0,74.6,77.4,21.5,68.8,85.9,74.2,1,5,0,1,48,9.3,5,2,5,79.5,25,1,0,108,5,274,535,104,0,0,104,0,7,431,29,232,311,18,43,5,39,7,1,245,166,9.8
Jordan Huff,99745,S,GA STATE,12,11,0,71.4,0,0,175,0,0,63.1,61.0,83.6,57.9,56.5,51.8,0,2,0,1,27,20.7,12,2,0,61.3,10,0,0,242,2,222,470,1,0,0,1,0,162,469,4,244,63,9,35,1,14,2,0,99,46,9.9
Antonio Clary,99757,S,VIRGINIA,11,9,0,80.0,0,0,335,0,0,73.7,68.5,0.0,59.9,61.1,83.0,1,0,0,2,19,6.9,2,1,1,60.4,8,0,0,129,0,137,265,1,0,0,1,0,104,264,1,127,31,5,18,0,10,1,0,80,38,10.0
Kenan Johnson,99761,CB,VIRGINIA,1,0,0,,0,0,335,0,0,61.9,50.1,68.8,,49.2,21.4,0,0,0,0,,100.0,1,0,0,0.0,0,0,0,0,5,2,5,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,0,0,
Rico Watson III,99809,ED,USF,13,6,0,84.2,0,0,327,0,0,41.1,64.3,15.3,70.3,81.2,59.7,2,9,0,1,24,17.3,9,0,4,77.6,16,3,0,105,2,151,537,368,0,3,355,10,1,169,159,227,61,26,37,4,19,14,0,150,104,9.4
Ben Smiley,99845,ED,UCONN,10,3,0,100.0,0,0,146,0,0,57.9,57.7,84.5,57.7,58.0,34.0,2,9,0,0,5,29.6,8,0,0,127.1,1,0,0,3,0,12,322,318,0,18,207,93,0,4,160,150,0,13,16,3,1,11,1,5,7,5.0
Blaine Spires,100324,ED,PITTSBURGH,9,4,0,,0,0,268,0,0,52.4,72.7,87.1,67.8,74.7,57.6,3,12,0,0,,17.6,3,0,0,0.0,0,2,0,0,0,5,278,278,0,4,265,9,0,0,144,129,0,11,10,2,0,17,0,0,0,
Siale Taupaki,100432,DI,UCLA,12,3,0,,0,0,324,1,0,60.0,63.0,53.3,61.9,64.6,50.0,2,6,0,0,,18.8,3,0,1,0.0,0,1,0,1,0,0,290,289,32,228,2,27,0,1,136,154,0,8,10,1,0,9,0,0,0,
Stephon Wright,100437,DI,UCONN,12,10,1,50.0,0,0,146,0,0,52.7,67.2,83.0,65.5,71.8,41.8,1,10,0,0,19,23.3,7,0,0,122.9,1,1,0,0,0,9,342,342,3,181,46,112,0,0,157,176,0,11,13,1,2,12,1,19,7,19.0
De'Jon Benton,100445,DI,HAWAII,12,9,0,,0,1,180,0,0,62.8,78.8,1.3,88.7,69.6,40.6,9,28,0,0,,26.8,11,0,6,0.0,0,7,1,3,0,2,536,533,33,307,115,78,0,3,318,216,0,22,21,4,0,44,0,0,0,
Levani Damuni,100457,LB,UTAH,13,12,1,62.5,0,0,328,1,0,63.3,78.7,82.9,65.0,86.0,82.6,2,7,0,0,20,4.9,2,0,0,82.3,5,3,0,266,2,109,313,33,0,0,31,2,0,280,56,148,12,18,27,3,8,12,0,54,60,10.8
Sitiveni Havili Kaufusi,100595,ED,OKLA STATE,12,4,0,,0,0,262,0,0,67.2,63.2,49.3,58.2,64.8,58.2,0,6,0,0,,21.1,4,1,1,0.0,0,2,0,1,0,0,246,245,10,92,69,74,0,1,133,113,0,11,11,1,0,8,0,0,0,
Naki Fahina,101179,DI,UTAH ST,5,1,0,,0,0,329,0,0,61.3,62.7,81.4,58.4,63.2,76.2,0,1,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,1,127,127,98,24,0,5,0,0,69,57,0,4,5,1,0,1,0,0,0,
Javin Wright,101373,LB,NEBRASKA,12,22,1,59.4,0,0,238,0,0,71.3,78.8,84.1,66.0,82.3,75.6,0,3,0,1,20,10.1,9,1,0,67.7,19,2,0,456,6,248,560,33,0,0,33,0,2,527,34,278,62,29,58,7,32,5,1,144,101,7.6
Smith Vilbert,101408,ED,N CAROLINA,12,10,2,,0,1,245,2,0,71.4,64.3,53.1,58.8,67.5,44.0,1,18,0,0,,25.0,9,0,2,0.0,0,2,0,1,0,2,534,531,0,58,352,121,0,3,274,258,0,14,17,4,0,21,0,0,0,
Jalen Hunt,101456,ED,CINCINNATI,13,3,0,,0,0,138,0,0,60.0,76.4,85.0,58.3,87.0,76.7,3,16,0,0,,9.5,2,0,0,0.0,0,3,0,2,0,0,536,533,8,124,117,284,0,3,279,257,0,16,16,4,0,22,0,0,0,
Joey Velazquez,101480,LB,OHIO STATE,1,0,0,,0,0,260,0,0,,64.4,67.2,,62.4,,0,0,0,0,,,0,0,0,0.0,0,0,0,3,0,0,3,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,
Derik LeCaptain,101506,LB,MINNESOTA,3,1,0,,0,0,225,0,0,63.2,60.7,74.5,56.6,59.5,75.7,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,10,0,3,23,10,0,0,10,0,0,13,5,15,3,1,1,0,0,0,0,0,0,
Tate Hallock,101668,S,W MICHIGAN,14,17,0,57.9,0,1,347,1,0,76.5,75.0,87.8,55.4,73.0,57.3,0,6,1,3,82,16.0,13,2,0,57.3,22,1,0,312,2,407,790,25,0,0,25,0,270,765,30,353,181,25,51,2,38,7,1,284,159,12.9
Marlon Jones,101808,CB,VANDERBILT,7,1,0,76.9,0,0,333,0,0,58.4,55.5,79.7,57.7,36.4,84.5,0,0,0,0,15,0.0,0,0,0,116.8,10,0,0,3,93,87,122,0,0,0,0,0,0,122,1,34,26,0,8,0,13,0,1,78,27,7.8
Rushawn Lawrence,101911,DI,MINNESOTA,13,4,0,,0,0,225,0,0,60.8,60.0,82.6,59.3,58.5,60.9,0,6,0,0,,13.6,3,0,0,0.0,0,3,0,0,0,0,281,281,32,216,18,15,0,0,165,116,0,12,15,2,0,9,0,0,0,
Brendan Harrington,102848,LB,GA SOUTHRN,13,26,2,83.3,0,0,174,0,0,74.4,63.2,86.8,58.8,53.7,63.1,0,9,0,1,26,14.0,16,1,0,76.5,30,0,0,668,1,372,827,51,0,0,51,0,0,776,51,404,106,39,72,2,36,9,0,185,132,6.2
Logan Lutui,103655,ED,BYU,14,12,1,36.4,0,0,128,0,0,72.9,69.1,38.3,58.8,73.0,53.7,3,9,0,1,18,17.9,10,3,3,7.0,4,1,0,5,0,60,537,526,0,34,447,45,0,11,192,285,6,25,34,3,11,13,0,29,13,7.3
Marcus Bellon,104082,WR,NEVADA,1,0,0,,0,0,239,0,0,,60.0,60.0,,60.0,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,
Noah Holmes,104560,LB,E CAROLINA,9,1,0,,0,0,156,0,0,70.8,73.3,74.4,65.4,70.3,65.7,0,3,0,0,,15.4,2,0,0,0.0,0,0,0,65,0,27,80,3,0,0,3,0,2,77,8,45,9,7,10,0,0,3,0,0,0,
Jalen Bell,106404,DI,MEMPHIS,13,9,0,,1,0,218,0,0,63.3,76.8,67.4,61.5,84.7,54.2,5,16,0,1,,16.7,7,0,1,0.0,0,1,0,1,0,1,532,529,14,246,103,166,0,3,294,237,0,20,26,4,0,22,0,0,0,
